Deity,Description
Aeolus,Greek god of the winds and air
Achlys,The goddess of poisons
Aether,The god of light
Aion,"The god of eternity, personifying cyclical and unbounded time"
Ananke,"The goddess of inevitability, compulsion, and necessity"
Aphrodite,"Goddess of beauty, love, desire, and pleasure"
Apollo,"God of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery."
Ares ,"God of courage, war, bloodshed, and violence"
Artemis,"Virgin goddess of the hunt, wilderness, animals, the Moon and young girls"
Athena,"Goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts"
Atlas,God forced to carry the heavens upon his shoulders
Chaos,The personification of nothingness
Chronos,God of Time
Cronus,The leader of the Titans
Demeter,"Goddess of grain, agriculture, harvest, growth, and nourishment"
Dionysus,"God of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater"
Eos,Goddess of the dawn
Erebus,The god of darkness and shadow
Eros,The god of love and attraction
Gaia,Personification of the Earth
Hades,King of the underworld and the dead
Helios,God of the sun
Hemera,The goddess of day
Hephaestus,"God of fire, metalworking, and crafts"
Hera,"Queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires"
Hermes,"God of boundaries, travel, trade, communication, language, writing, cunning and thieves"
Hestia,"Virgin goddess of the hearth, home, domesticity and chastity"
Hyperion,God of light
Hypnos,The personification of sleep
Kratos,God of strength and power
Momus,"God of satire, mockery, censure, writers and poets and a spirit of evil-spirited blame and unfair criticism"
Morpheus,God of dreams and sleep
Nemesis,The goddess of retribution
Nesoi ,The goddesses of islands
Nyx,The goddess of  the night
Oceanus,Titan god of the ocean
Phanes,The god of procreation
Poseidon,"God of the sea, rivers, floods, droughts, and earthquakes"
Prometheus,Creator of mankind
Rhea,"Goddess of fertility, motherhood and the mountain wilds"
Thanatos,God of death
Themis,Goddess of divine law and order
Uranus,Father of the Titans
Zeus,"King of the gods, ruler of Mount Olympus, and god of the sky, weather, thunder, lightning, law, order, and justice"
