Name,Fear
Achluophobia ,darkness
Acousticophobia ,noise
Acrophobia ,heights
Aerophobia ,flying
Agoraphobia ,open spaces
Agyrophobia ,crossing streets
Aichmophobia ,sharp objects
Ailurophobia ,cats
Algophobia ,pain
Ancraophobia ,wind
Aquaphobia ,water
Arachnophobia ,spiders
Astraphobia ,thunder and lightning
Autophobia ,isolation
Bacteriophobia ,bacteria
Basophobia,falling
Batrachophobia ,frogs
Belonephobia ,needls
Bibliophobia ,books
Cacophobia,ugliness
Carcinophobia ,cancer
Catoptrophobia ,mirros
Chemophobia ,chemicals
Cherophobia ,happiness
Chiroptophobia ,bats
Chromophobia,colours
Chronomentrophobia ,clocks
Chronophobia ,time passing
Cibophobia,food
Claustrophobia ,closed spaces
Coimetrophobia ,cemetries
Coulrophobia ,clowns
Cyberphobia ,computers
Cynophobia ,dogs
Demonophobia,demons
Dendrophobia ,trees
Dentophobia ,dentists
Domatophobia ,houses
Emetophobia ,vomiting
Enochlophobia ,crowds
Entomophobia ,insects
Ephebiphobia ,youth
Equinophobia ,horses
Ergophobia,work
Frigophobia ,cold
Gamophobia ,marriage
Gephyrophobia ,bridges
Gerascophobia ,aging
Germophobia ,germs
Globophobia ,balloons
Glossophobia ,public speaking
Halitophobia ,bad breath
Heliophobia,sunlight
Helminthophobia,worms
Hemophobia,blood
Herpetophobia ,reptiles
Hexakosioihexekontahexaphobia ,666
Hodophobia ,travel
Hydrophobia,water
Hypochondria ,illness
Ichthyophobia ,fish
Insectophobia ,insects
Koumpounophobia ,buttons
Lepidopterophobia ,butteflies
Lilapsophobia ,tornadoes or hurricanes
Mageirocophobia ,cooking
Melanophobia ,black
Melissophobia,bees
Monophobia ,being alone
Musophobi,mice
Myrmecophobia ,ants
Necrophobia ,death
Neophobia,new things
Noctiphobia ,night
Nosocomephobia ,hospitals
Numerophobia ,numbers
Nyctophobia,darkness
Obesophobia ,weight gain
Ommetaphobia ,eyes
Oneirophobia ,dreams
Ophidiophobia ,snakes
Ornithophobia ,birds
Osmophobia,smells
Ostraconophobia ,shellfish
Panphobia ,everything
pediaphobia ,babies and children
Pharmacophobia ,medicine
Phasmophobia ,ghosts
Phobophobia ,fear
Phonophobia ,loud sounds
Pogonophobia ,beards
Porphyrophobia ,purple
Pteromerhanophobia ,flying
Pyrophobia ,fire
Radiophobia ,radioactivity
Roller coaster phobia ,roller coasters
Siderodromophobia ,trains
Sociophobia ,people
Somniphobia ,sleep
Taphophobia,graves
Technophobia ,technology
Tetraphobia ,4
Thalassophobia ,sea
Thanatophobia ,dying
Thermophobia ,heat
Toxiphobia ,poisons
Traumatophobia ,injury
Trichophobia ,hair loss
Triskaidekaphobia,13
Trypanophobia,needles
Vehophobia ,driving
Xanthophobia ,yellow
Xenophobia ,foreigners
